timestamp,open,high,low,close,volume
2026-06-12 12:15:00,63634.97,63681.99,63463.03,63463.19,114.92805
2026-06-12 12:30:00,63463.19,63568.56,63388.76,63430.8,177.41792
2026-06-12 12:45:00,63430.8,63550.15,63378.0,63465.51,138.02822
2026-06-12 13:00:00,63465.52,63507.76,63368.97,63487.96,110.48812
2026-06-12 13:15:00,63487.96,63532.59,63353.64,63407.99,107.13153
2026-06-12 13:30:00,63407.99,63452.0,63045.29,63138.01,457.24654
2026-06-12 13:45:00,63138.01,63264.0,63106.01,63229.1,176.6248
2026-06-12 14:00:00,63229.1,63558.0,63190.0,63450.48,255.9516
2026-06-12 14:15:00,63450.48,63656.27,63320.0,63631.99,207.85874
2026-06-12 14:30:00,63631.99,63784.0,63482.0,63504.59,265.33892
2026-06-12 14:45:00,63504.6,64000.0,63463.59,63999.99,335.93899
2026-06-12 15:00:00,63999.99,64380.0,63895.0,64372.0,781.18368
2026-06-12 15:15:00,64372.0,64394.44,64132.04,64132.04,276.01267
2026-06-12 15:30:00,64132.05,64132.05,63808.2,63900.0,340.59402
2026-06-12 15:45:00,63900.0,63934.0,63551.9,63593.02,272.17162
2026-06-12 16:00:00,63593.02,63986.71,63510.16,63861.34,289.23312
2026-06-12 16:15:00,63861.33,63996.0,63768.0,63900.0,229.28473
2026-06-12 16:30:00,63900.0,63995.25,63762.98,63844.99,149.22234
2026-06-12 16:45:00,63844.99,63982.49,63832.01,63982.48,108.27006
2026-06-12 17:00:00,63982.48,64111.1,63875.02,63910.09,161.60515
2026-06-12 17:15:00,63910.08,63916.0,63745.99,63832.0,104.7517
2026-06-12 17:30:00,63832.0,63913.99,63764.0,63828.0,116.73835
2026-06-12 17:45:00,63828.0,63884.39,63806.0,63865.44,73.19751
2026-06-12 18:00:00,63865.45,63934.34,63699.77,63818.0,228.1807
2026-06-12 18:15:00,63818.01,63834.0,63686.0,63782.62,172.1946
2026-06-12 18:30:00,63782.61,63915.82,63728.38,63864.43,78.13045
2026-06-12 18:45:00,63864.43,63900.0,63686.0,63694.0,83.33618
2026-06-12 19:00:00,63694.01,63780.0,63671.71,63712.29,88.80173
2026-06-12 19:15:00,63712.29,63786.01,63651.04,63726.11,99.57086
2026-06-12 19:30:00,63726.1,63830.93,63638.0,63640.55,157.36812
2026-06-12 19:45:00,63640.55,63672.0,63589.27,63589.27,116.91105
2026-06-12 20:00:00,63589.28,63696.41,63568.0,63626.0,93.24533
2026-06-12 20:15:00,63626.0,63640.0,63510.0,63524.67,59.92427
2026-06-12 20:30:00,63524.68,63572.0,63509.7,63522.0,55.19548
2026-06-12 20:45:00,63522.0,63533.76,63400.0,63449.0,120.35955
2026-06-12 21:00:00,63449.01,63624.08,63440.01,63600.0,80.40371
2026-06-12 21:15:00,63600.01,63624.62,63500.03,63510.0,66.42394
2026-06-12 21:30:00,63510.0,63578.73,63505.64,63537.99,49.93116
2026-06-12 21:45:00,63538.0,63549.99,63450.0,63472.0,133.74745
2026-06-12 22:00:00,63471.99,63562.0,63471.99,63510.68,338.59853
2026-06-12 22:15:00,63510.79,63658.0,63494.0,63604.01,50.9381
2026-06-12 22:30:00,63604.01,63619.73,63472.69,63507.99,203.04697
2026-06-12 22:45:00,63508.0,63536.71,63492.01,63502.0,118.56715
2026-06-12 23:00:00,63502.0,63525.44,63448.0,63463.92,44.54646
2026-06-12 23:15:00,63463.92,63497.61,63426.83,63453.32,73.79587
2026-06-12 23:30:00,63453.32,63569.99,63439.0,63505.01,242.07313
2026-06-12 23:45:00,63505.01,63580.01,63505.01,63580.01,48.83276
2026-06-13 00:00:00,63580.0,63608.58,63535.3,63592.05,318.61029
2026-06-13 00:15:00,63592.05,63594.0,63530.0,63530.0,86.42851
2026-06-13 00:30:00,63530.01,63626.92,63507.39,63588.02,93.65426
2026-06-13 00:45:00,63588.01,63652.11,63554.32,63600.01,80.24882
2026-06-13 01:00:00,63600.01,63699.58,63600.01,63656.0,41.5971
2026-06-13 01:15:00,63655.99,63676.02,63612.0,63653.99,66.86293
2026-06-13 01:30:00,63654.0,63839.99,63640.29,63754.91,194.08394
2026-06-13 01:45:00,63754.92,63840.0,63754.91,63837.89,207.08962
2026-06-13 02:00:00,63837.88,63837.89,63772.26,63794.0,26.48999
2026-06-13 02:15:00,63794.0,63802.0,63694.0,63713.43,112.79296
2026-06-13 02:30:00,63713.43,63726.0,63624.07,63624.08,214.89354
2026-06-13 02:45:00,63624.08,63656.0,63558.0,63646.01,96.61636
2026-06-13 03:00:00,63646.01,63720.88,63646.0,63662.51,65.19881
2026-06-13 03:15:00,63662.51,63681.19,63418.66,63511.81,132.54502
2026-06-13 03:30:00,63511.81,63522.08,63478.92,63504.72,31.77374
2026-06-13 03:45:00,63504.72,63556.0,63500.0,63532.0,39.03266
2026-06-13 04:00:00,63532.0,63568.11,63484.0,63513.73,47.03822
2026-06-13 04:15:00,63513.73,63584.0,63497.31,63542.01,26.22108
2026-06-13 04:30:00,63542.01,63625.99,63536.0,63623.43,35.29524
2026-06-13 04:45:00,63623.43,63663.91,63512.0,63512.01,35.59842
